代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
大阪駅,すべての時間帯,2020年6月第4週,都道府県外,-30.090982788
大阪駅,すべての時間帯,2020年7月第1週,市区町村内,-25.074480879
大阪駅,すべての時間帯,2020年7月第1週,都道府県内,-18.133031402
大阪駅,すべての時間帯,2020年7月第1週,都道府県外,-33.751694336
大阪駅,すべての時間帯,2020年7月第2週,市区町村内,-21.773561321
大阪駅,すべての時間帯,2020年7月第2週,都道府県内,-11.951114931
大阪駅,すべての時間帯,2020年7月第2週,都道府県外,-35.642351620
大阪駅,すべての時間帯,2020年7月第3週,市区町村内,-17.895914052
大阪駅,すべての時間帯,2020年7月第3週,都道府県内,-8.362745934
大阪駅,すべての時間帯,2020年7月第3週,都道府県外,-28.472124170
大阪駅,すべての時間帯,2020年7月第4週,市区町村内,-30.126721608
大阪駅,すべての時間帯,2020年7月第4週,都道府県内,-19.279705438
大阪駅,すべての時間帯,2020年7月第4週,都道府県外,-40.045186991
大阪駅,すべての時間帯,2020年7月第5週,市区町村内,-29.385485218
大阪駅,すべての時間帯,2020年7月第5週,都道府県内,-18.254564211
大阪駅,すべての時間帯,2020年7月第5週,都道府県外,-35.493766930
大阪駅,すべての時間帯,2020年8月第1週,市区町村内,-22.153276391
大阪駅,すべての時間帯,2020年8月第1週,都道府県内,-20.076250042
大阪駅,すべての時間帯,2020年8月第1週,都道府県外,-41.984561423
大阪駅,すべての時間帯,2020年8月第2週,市区町村内,-17.593733184
大阪駅,すべての時間帯,2020年8月第2週,都道府県内,-5.732306804
大阪駅,すべての時間帯,2020年8月第2週,都道府県外,-40.859680599
大阪駅,すべての時間帯,2020年8月第3週,市区町村内,-28.771426811
大阪駅,すべての時間帯,2020年8月第3週,都道府県内,-20.599943816
大阪駅,すべての時間帯,2020年8月第3週,都道府県外,-40.583891384
大阪駅,すべての時間帯,2020年8月第4週,市区町村内,-30.357814039
大阪駅,すべての時間帯,2020年8月第4週,都道府県内,-20.523775663
大阪駅,すべての時間帯,2020年8月第4週,都道府県外,-42.383224579
大阪駅,すべての時間帯,2020年9月第1週,市区町村内,-44.550112662
大阪駅,すべての時間帯,2020年9月第1週,都道府県内,-31.133368186
大阪駅,すべての時間帯,2020年9月第1週,都道府県外,-46.175180632
大阪駅,すべての時間帯,2020年9月第2週,市区町村内,-36.091398007
大阪駅,すべての時間帯,2020年9月第2週,都道府県内,-36.079359173
大阪駅,すべての時間帯,2020年9月第2週,都道府県外,-49.025900022
大阪駅,すべての時間帯,2020年9月第3週,市区町村内,-40.018331821
大阪駅,すべての時間帯,2020年9月第3週,都道府県内,-31.931616019
大阪駅,すべての時間帯,2020年9月第3週,都道府県外,-40.158546235
大阪駅,すべての時間帯,2020年9月第4週,市区町村内,-43.185003283
大阪駅,すべての時間帯,2020年9月第4週,都道府県内,-35.551939942
大阪駅,すべての時間帯,2020年9月第4週,都道府県外,-41.287764730
大阪駅,すべての時間帯,2020年10月第1週,市区町村内,-35.865523473
大阪駅,すべての時間帯,2020年10月第1週,都道府県内,-30.845358457
大阪駅,すべての時間帯,2020年10月第1週,都道府県外,-36.733680169
大阪駅,すべての時間帯,2020年10月第2週,市区町村内,-31.494844101
大阪駅,すべての時間帯,2020年10月第2週,都道府県内,-29.385454610
大阪駅,すべての時間帯,2020年10月第2週,都道府県外,-34.229524656
大阪駅,すべての時間帯,2020年10月第3週,市区町村内,-28.935566395
大阪駅,すべての時間帯,2020年10月第3週,都道府県内,-25.157341399
大阪駅,すべての時間帯,2020年10月第3週,都道府県外,-36.514450298
大阪駅,すべての時間帯,2020年10月第4週,市区町村内,-30.266534872
大阪駅,すべての時間帯,2020年10月第4週,都道府県内,-23.973834137
大阪駅,すべての時間帯,2020年10月第4週,都道府県外,-30.285075082
大阪駅,すべての時間帯,2020年10月第5週,市区町村内,-25.764562692
大阪駅,すべての時間帯,2020年10月第5週,都道府県内,-26.335860668
大阪駅,すべての時間帯,2020年10月第5週,都道府県外,-32.817303435
大阪駅,すべての時間帯,2020年11月第1週,市区町村内,-15.775302041
大阪駅,すべての時間帯,2020年11月第1週,都道府県内,-24.314421742
大阪駅,すべての時間帯,2020年11月第1週,都道府県外,-31.606540792
大阪駅,すべての時間帯,2020年11月第2週,市区町村内,-14.088721502
大阪駅,すべての時間帯,2020年11月第2週,都道府県内,-24.437701319
大阪駅,すべての時間帯,2020年11月第2週,都道府県外,-32.403522772
大阪駅,すべての時間帯,2020年11月第3週,市区町村内,-13.686162144
大阪駅,すべての時間帯,2020年11月第3週,都道府県内,-26.521895556
大阪駅,すべての時間帯,2020年11月第3週,都道府県外,-30.827795480
大阪駅,すべての時間帯,2020年11月第4週,市区町村内,-21.992302381
大阪駅,すべての時間帯,2020年11月第4週,都道府県内,-33.142976548
大阪駅,すべての時間帯,2020年11月第4週,都道府県外,-40.844875375
大阪駅,すべての時間帯,2020年12月第1週,市区町村内,-20.824602656
大阪駅,すべての時間帯,2020年12月第1週,都道府県内,-35.296176410
大阪駅,すべての時間帯,2020年12月第1週,都道府県外,-47.046073999
大阪駅,すべての時間帯,2020年12月第2週,市区町村内,-19.684454161
大阪駅,すべての時間帯,2020年12月第2週,都道府県内,-36.490014734
大阪駅,すべての時間帯,2020年12月第2週,都道府県外,-49.953896482
大阪駅,すべての時間帯,2020年12月第3週,市区町村内,-22.762060928
大阪駅,すべての時間帯,2020年12月第3週,都道府県内,-35.693865907
大阪駅,すべての時間帯,2020年12月第3週,都道府県外,-48.540163687
大阪駅,すべての時間帯,2020年12月第4週,市区町村内,-15.322862836
大阪駅,すべての時間帯,2020年12月第4週,都道府県内,-31.313374575
大阪駅,すべての時間帯,2020年12月第4週,都道府県外,-46.256184081
大阪駅,すべての時間帯,2020年12月第5週,市区町村内,-20.041102961
大阪駅,すべての時間帯,2020年12月第5週,都道府県内,-26.971017983
大阪駅,すべての時間帯,2020年12月第5週,都道府県外,-52.968527509
大阪駅,すべての時間帯,2021年1月第1週,市区町村内,-9.644931321
大阪駅,すべての時間帯,2021年1月第1週,都道府県内,23.077754732
大阪駅,すべての時間帯,2021年1月第1週,都道府県外,-21.255290768
大阪駅,すべての時間帯,2021年1月第2週,市区町村内,-33.965961789
大阪駅,すべての時間帯,2021年1月第2週,都道府県内,-35.075391589
大阪駅,すべての時間帯,2021年1月第2週,都道府県外,-49.818817334
大阪駅,すべての時間帯,2021年1月第3週,市区町村内,-34.343029477
大阪駅,すべての時間帯,2021年1月第3週,都道府県内,-29.547520764
大阪駅,すべての時間帯,2021年1月第3週,都道府県外,-47.420775425
大阪駅,すべての時間帯,2021年1月第4週,市区町村内,-36.996423403
大阪駅,すべての時間帯,2021年1月第4週,都道府県内,-30.561609208
大阪駅,すべての時間帯,2021年1月第4週,都道府県外,-50.169070201
大阪駅,すべての時間帯,2021年2月第1週,市区町村内,-37.168970744
大阪駅,すべての時間帯,2021年2月第1週,都道府県内,-29.643791755
大阪駅,すべての時間帯,2021年2月第1週,都道府県外,-47.608471910
大阪駅,すべての時間帯,2021年2月第2週,市区町村内,-31.512149529
大阪駅,すべての時間帯,2021年2月第2週,都道府県内,-29.386503067
大阪駅,すべての時間帯,2021年2月第2週,都道府県外,-48.970415065
大阪駅,すべての時間帯,2021年2月第3週,市区町村内,-28.201636600
大阪駅,すべての時間帯,2021年2月第3週,都道府県内,-21.233778647
大阪駅,すべての時間帯,2021年2月第3週,都道府県外,-42.569745483
大阪駅,すべての時間帯,2021年2月第4週,市区町村内,-27.145536682
大阪駅,すべての時間帯,2021年2月第4週,都道府県内,-19.927375162
大阪駅,すべての時間帯,2021年2月第4週,都道府県外,-45.133294523
大阪駅,すべての時間帯,2021年3月第1週,市区町村内,-22.205801055
大阪駅,すべての時間帯,2021年3月第1週,都道府県内,-14.498102324
大阪駅,すべての時間帯,2021年3月第1週,都道府県外,-33.510162692
大阪駅,すべての時間帯,2021年3月第2週,市区町村内,-14.429014908
大阪駅,すべての時間帯,2021年3月第2週,都道府県内,-7.226562211
大阪駅,すべての時間帯,2021年3月第2週,都道府県外,-29.579938617
大阪駅,すべての時間帯,2021年3月第3週,市区町村内,-15.305893932
大阪駅,すべての時間帯,2021年3月第3週,都道府県内,-10.900554585
大阪駅,すべての時間帯,2021年3月第3週,都道府県外,-30.705470489
大阪駅,すべての時間帯,2021年3月第4週,市区町村内,-19.039127893
大阪駅,すべての時間帯,2021年3月第4週,都道府県内,-3.124818969
大阪駅,すべての時間帯,2021年3月第4週,都道府県外,-26.040431904
大阪駅,すべての時間帯,2021年4月第1週,市区町村内,-22.503310192
大阪駅,すべての時間帯,2021年4月第1週,都道府県内,-9.721287721
大阪駅,すべての時間帯,2021年4月第1週,都道府県外,-30.905364907
大阪駅,すべての時間帯,2021年4月第2週,市区町村内,-27.656954970
大阪駅,すべての時間帯,2021年4月第2週,都道府県内,-10.272153314
大阪駅,すべての時間帯,2021年4月第2週,都道府県外,-29.562103321
